tIF,G_if,Tcell_if,Tamb_if,loadFactor_if,pf_if,P_load_if,Q_load_if,I_load_if,Vpv_mpp_if,Ipv_mpp_if,Vdc_cmd_if,D_mppt_if,Ppv_available_if,P_meas_if,P_pred_if,V_meas_if,V_pred_if,I_meas_if,I_pred_if,T_meas_if,T_case_if,T_junction_if,absP_if,absV_if,absI_if,absT_if,P_loss_if,capHealth_if
0,912.91622484207,37.0427270404342,27.2418376986434,0.861645312739117,0.847456727813785,7754.80781465205,4857.77252208319,12.7304801299968,760.012929185853,11.5278288698875,800,0.0499838385176838,8761.29898655645,7760.59902822242,7754.80781465205,306.810800227041,305.02,12.8115643724892,12.7664227809307,28.4252136078025,27.0390871205223,28.6356331303549,5.79121357037366,1.79080022704102,0.0451415915585027,1.38612648728028,239.839416948002,1
1,871.332426156501,36.5632435509557,26.2408141156059,0.860360905298703,0.84555477981391,7743.24814768833,4889.13618726689,12.7400961117492,761.147147380214,11.007891489654,800,0.048566065774732,8378.62520602106,7809.30691193605,7743.24814768833,304.776190087704,305.02,12.9141760473799,12.7760659120029,27.8350120181674,27.0390871205223,28.6356331303549,66.058764247723,0.243809912295774,0.138110135377021,0.795924897645126,239.481901474898,1
2,908.974354050931,34.8356397435551,27.4038051433932,0.869591893131935,0.862067895997707,7826.32703818742,4600.94409747016,12.6301292738765,765.23379418662,11.5027037111441,800,0.0434577572667245,8802.25760428328,7805.82966966993,7826.32703818742,306.737151169787,305.02,12.6311690740088,12.6657885988278,29.1963989850558,28.8748310685034,31.6593071536908,20.4973685174891,1.71715116978663,0.0346195248190195,0.321567916552393,242.051351696519,1
3,924.2706711905,35.9281614188872,26.7270199928314,0.850236899425461,0.854040763496419,7652.13209482915,4661.00199688038,12.4650818399363,762.649434163622,11.6839077263304,800,0.0466882072954721,8910.72561630589,7726.46591998754,7652.13209482915,304.675680420207,305.02,12.5999900787621,12.5002751775685,28.2165692830224,28.7487919288445,32.3685002527921,74.3338251583955,0.344319579792796,0.0997149011935523,0.532222645822106,236.663879221521,1
4,902.437966750396,34.721630311421,27.1293370472428,0.87157202617607,0.845991610625007,7844.14823558463,4943.86709139482,12.8994446038437,765.503483498334,11.42124350225,800,0.043120645627083,8743.00168685507,7888.68817534959,7844.14823558463,305.323066587168,305.02,12.9607894806193,12.9358643012866,29.391944419079,29.6446260338745,33.9164289564363,44.5399397649599,0.303066587167564,0.0249251793326959,0.252681614795513,242.602522750041,1
5,898.068975163372,33.0786563250384,28.9573343254099,0.876134976273727,0.848861461818587,7885.21478646354,4910.39585170186,12.9231381328156,769.389938463122,11.3838523762095,800,0.0382625769210978,8758.62147920513,7927.4603252468,7885.21478646354,306.277727383865,305.02,13.0217179734366,12.9596247254764,32.2483023171373,31.907384987397,36.6658579456874,42.245538783257,1.25772738386468,0.0620932479602629,0.340917329740311,243.87262226176,1
6,880.417723583635,35.2422555055855,26.9604742439403,0.924660794059065,0.840120734060812,8321.94714653158,5372.82236540339,13.7808030496895,764.271944601537,11.1369568140609,799.369057136394,0.0446600692480782,8511.6636412257,8207.96362354898,8256.31373198893,303.251601330091,304.779437259679,13.6045780215046,13.710718032489,31.085866698969,30.3337041064329,35.5255836707577,48.3501084399541,1.52783592958747,0.106140010984458,0.752162592536077,255.349909236772,1
7,916.169323512882,33.6733365788529,27.1892580831497,0.878758634607,0.857293757284485,7908.827711463,4749.46005023037,12.8343455945956,767.983222322723,11.6067017514007,800,0.0400209720965958,8913.75221157953,7894.67474559127,7908.827711463,305.762512583098,305.02,12.9164882385272,12.8705814944957,30.8196612580349,30.9041986138095,36.3422630870559,14.1529658717272,0.742512583097664,0.0459067440314769,0.0845373557746072,244.602918911228,1
8,890.172863802768,34.6619736618299,28.6053026005512,0.892378244685919,0.849145301204554,8031.40420217327,4995.44765904644,13.1583292345184,765.644601302941,11.2666640034951,800,0.0429442483713233,8626.26046897017,8043.79976019572,8031.40420217327,303.256803174449,305.02,13.2658374796037,13.1954798548972,31.9064518061418,32.6444941486348,38.2883677249962,12.3955580224456,1.76319682555135,0.0703576247065101,0.738042342493035,248.393944397112,1
9,891.016742658773,34.6553213778591,29.9137401170814,0.813613103590156,0.864345618324788,7322.51793231141,4260.4270698137,11.7859416076727,765.660337280674,11.2774169922885,800,0.0429245783991571,8634.67089797039,7273.62843728434,7322.51793231141,303.761560031954,305.02,11.8220397567184,11.8192174920704,33.6721584547515,34.1776776406731,39.8263157751549,48.8894950270633,1.2584399680461,0.00282226464798185,0.505519185921592,226.469626772519,1
